method,method_id,scale,dimension,seed,budget,utility,best_eval_idx,success,first_feasible_index,positive_eval_rate,served_ratio,served_priority,served_count,outage_ratio_mean,energy_at_best,channel_model,window_width,rate_threshold_mbps,source_log
DE-rp,de_rp,medium,40-D,14,300,6.509216,265,True,17.0,0.02,0.05,9.129673,1,0.173155,262.045712,distance,30.0,15.0,logs/main/medium/de_rp/seed_14.csv
DE-rp,de_rp,medium,40-D,15,300,11.061702,56,True,4.0,0.04,0.05,14.979921,1,0.260044,191.821921,distance,30.0,15.0,logs/main/medium/de_rp/seed_15.csv
DE-rp,de_rp,medium,40-D,16,300,9.956527,200,True,140.0,0.02,0.05,12.646476,1,0.028325,268.99492,distance,30.0,15.0,logs/main/medium/de_rp/seed_16.csv
DE-rp,de_rp,medium,40-D,17,300,11.259146,189,True,85.0,0.033333,0.05,12.943634,1,0.147393,168.448799,distance,30.0,15.0,logs/main/medium/de_rp/seed_17.csv
DE-rp,de_rp,medium,40-D,18,300,6.735827,142,True,34.0,0.013333,0.05,8.877199,1,0.041485,214.137167,distance,30.0,15.0,logs/main/medium/de_rp/seed_18.csv
DE-rp,de_rp,medium,40-D,19,300,10.672023,296,True,62.0,0.04,0.05,11.788949,1,0.054057,111.692625,distance,30.0,15.0,logs/main/medium/de_rp/seed_19.csv
DE-rp,de_rp,large,80-D,0,300,14.816005,18,True,18.0,0.05,0.05,24.296368,2,0.11798,348.036266,distance,30.0,15.0,logs/main/large/de_rp/seed_0.csv
DE-rp,de_rp,large,80-D,1,300,11.76194,121,True,1.0,0.043333,0.05,21.34691,2,0.118024,358.497086,distance,30.0,15.0,logs/main/large/de_rp/seed_1.csv
DE-rp,de_rp,large,80-D,2,300,17.490492,102,True,71.0,0.033333,0.05,24.981666,2,0.216866,349.117408,distance,30.0,15.0,logs/main/large/de_rp/seed_2.csv
DE-rp,de_rp,large,80-D,3,300,17.624133,191,True,38.0,0.106667,0.05,22.979661,2,0.242565,335.552774,distance,30.0,15.0,logs/main/large/de_rp/seed_3.csv
DE-rp,de_rp,large,80-D,4,300,7.96361,254,True,118.0,0.016667,0.025,12.056971,1,0.041167,209.33614,distance,30.0,15.0,logs/main/large/de_rp/seed_4.csv
DE-rp,de_rp,large,80-D,5,300,11.916641,291,True,8.0,0.066667,0.05,23.428926,2,0.088427,351.228441,distance,30.0,15.0,logs/main/large/de_rp/seed_5.csv
DE-rp,de_rp,large,80-D,6,300,16.784082,243,True,49.0,0.07,0.05,26.293796,2,0.109551,350.971362,distance,30.0,15.0,logs/main/large/de_rp/seed_6.csv
DE-rp,de_rp,large,80-D,7,300,8.002595,224,True,34.0,0.046667,0.025,13.628092,1,0.07856,362.549781,distance,30.0,15.0,logs/main/large/de_rp/seed_7.csv
DE-rp,de_rp,large,80-D,8,300,10.516039,205,True,15.0,0.056667,0.05,17.126534,2,0.044627,261.049447,distance,30.0,15.0,logs/main/large/de_rp/seed_8.csv
DE-rp,de_rp,large,80-D,9,300,13.068849,172,True,26.0,0.056667,0.05,22.682792,2,0.145551,361.394299,distance,30.0,15.0,logs/main/large/de_rp/seed_9.csv
DE-rp,de_rp,large,80-D,10,300,10.352143,33,True,31.0,0.053333,0.05,17.905805,2,0.064257,355.366265,distance,30.0,15.0,logs/main/large/de_rp/seed_10.csv
DE-rp,de_rp,large,80-D,11,300,6.782634,118,True,58.0,0.05,0.025,11.910399,1,0.091792,312.776513,distance,30.0,15.0,logs/main/large/de_rp/seed_11.csv
DE-rp,de_rp,large,80-D,12,300,8.413533,145,True,50.0,0.02,0.05,18.510824,2,0.09455,409.729166,distance,30.0,15.0,logs/main/large/de_rp/seed_12.csv
DE-rp,de_rp,large,80-D,13,300,15.100108,258,True,19.0,0.063333,0.05,21.543672,2,0.086739,244.356407,distance,30.0,15.0,logs/main/large/de_rp/seed_13.csv
DE-rp,de_rp,large,80-D,14,300,10.367674,217,True,11.0,0.07,0.05,16.821218,2,0.27497,245.354323,distance,30.0,15.0,logs/main/large/de_rp/seed_14.csv
DE-rp,de_rp,large,80-D,15,300,22.843386,135,True,55.0,0.046667,0.075,29.93666,3,0.035737,309.32738,distance,30.0,15.0,logs/main/large/de_rp/seed_15.csv
DE-rp,de_rp,large,80-D,16,300,11.159761,206,True,13.0,0.03,0.025,14.888371,1,0.081469,372.861028,distance,30.0,15.0,logs/main/large/de_rp/seed_16.csv
DE-rp,de_rp,large,80-D,17,300,7.617611,71,True,71.0,0.03,0.025,10.932774,1,0.049861,331.516291,distance,30.0,15.0,logs/main/large/de_rp/seed_17.csv
DE-rp,de_rp,large,80-D,18,300,10.084663,135,True,6.0,0.04,0.05,19.138107,2,0.336793,305.344461,distance,30.0,15.0,logs/main/large/de_rp/seed_18.csv
DE-rp,de_rp,large,80-D,19,300,12.509658,160,True,14.0,0.07,0.05,21.530648,2,0.088452,302.098982,distance,30.0,15.0,logs/main/large/de_rp/seed_19.csv
Repair BO,repair_bo,medium,40-D,0,300,11.64205,297,True,10.0,0.13,0.05,13.902744,1,0.133817,226.069374,distance,30.0,15.0,logs/main/medium/repair_bo/seed_0.csv
Repair BO,repair_bo,medium,40-D,1,300,14.5531,275,True,54.0,0.09,0.1,17.165839,2,0.303934,261.273963,distance,30.0,15.0,logs/main/medium/repair_bo/seed_1.csv
Repair BO,repair_bo,medium,40-D,2,300,20.117583,223,True,53.0,0.323333,0.1,21.371989,2,0.545778,125.440539,distance,30.0,15.0,logs/main/medium/repair_bo/seed_2.csv
Repair BO,repair_bo,medium,40-D,3,300,21.592035,101,True,36.0,0.18,0.1,23.38235,2,0.125849,179.031489,distance,30.0,15.0,logs/main/medium/repair_bo/seed_3.csv
Repair BO,repair_bo,medium,40-D,4,300,7.682335,203,True,5.0,0.12,0.05,10.058932,1,0.06862,237.659704,distance,30.0,15.0,logs/main/medium/repair_bo/seed_4.csv
Repair BO,repair_bo,medium,40-D,5,300,7.597189,196,True,105.0,0.013333,0.05,13.700885,1,0.029444,210.369572,distance,30.0,15.0,logs/main/medium/repair_bo/seed_5.csv
Repair BO,repair_bo,medium,40-D,6,300,13.373292,269,True,58.0,0.066667,0.05,14.870043,1,0.234929,149.675118,distance,30.0,15.0,logs/main/medium/repair_bo/seed_6.csv
Repair BO,repair_bo,medium,40-D,7,300,20.239021,59,True,20.0,0.163333,0.1,23.985717,2,0.311111,174.669534,distance,30.0,15.0,logs/main/medium/repair_bo/seed_7.csv
Repair BO,repair_bo,medium,40-D,8,300,15.898956,233,True,150.0,0.26,0.1,20.139468,2,0.054078,224.051158,distance,30.0,15.0,logs/main/medium/repair_bo/seed_8.csv
Repair BO,repair_bo,medium,40-D,9,300,8.422707,135,True,28.0,0.043333,0.05,12.846099,1,0.061899,242.339104,distance,30.0,15.0,logs/main/medium/repair_bo/seed_9.csv
Repair BO,repair_bo,medium,40-D,10,300,18.942919,200,True,11.0,0.033333,0.1,22.741128,2,0.309341,179.820885,distance,30.0,15.0,logs/main/medium/repair_bo/seed_10.csv
Repair BO,repair_bo,medium,40-D,11,300,8.738051,120,True,41.0,0.063333,0.1,19.416755,2,0.043659,267.870434,distance,30.0,15.0,logs/main/medium/repair_bo/seed_11.csv
Repair BO,repair_bo,medium,40-D,12,300,3.377294,258,True,90.0,0.1,0.05,5.572546,1,0.067198,219.525187,distance,30.0,15.0,logs/main/medium/repair_bo/seed_12.csv
Repair BO,repair_bo,medium,40-D,13,300,21.235183,125,True,87.0,0.1,0.1,25.128994,2,0.068278,189.381105,distance,30.0,15.0,logs/main/medium/repair_bo/seed_13.csv
Repair BO,repair_bo,medium,40-D,14,300,11.462105,128,True,12.0,0.053333,0.05,13.934892,1,0.119595,247.278636,distance,30.0,15.0,logs/main/medium/repair_bo/seed_14.csv
Repair BO,repair_bo,medium,40-D,15,300,31.042303,46,True,18.0,0.24,0.15,37.407593,3,0.444111,236.528966,distance,30.0,15.0,logs/main/medium/repair_bo/seed_15.csv
Repair BO,repair_bo,medium,40-D,16,300,9.468126,216,True,196.0,0.066667,0.05,11.143158,1,0.063778,167.503191,distance,30.0,15.0,logs/main/medium/repair_bo/seed_16.csv
Repair BO,repair_bo,medium,40-D,17,300,8.018922,232,True,70.0,0.046667,0.05,10.422403,1,0.163405,240.348119,distance,30.0,15.0,logs/main/medium/repair_bo/seed_17.csv
Repair BO,repair_bo,medium,40-D,18,300,7.783261,99,True,33.0,0.04,0.05,10.004927,1,0.018648,222.16659,distance,30.0,15.0,logs/main/medium/repair_bo/seed_18.csv
Repair BO,repair_bo,medium,40-D,19,300,22.575099,193,True,13.0,0.093333,0.1,24.108821,2,0.087423,153.372238,distance,30.0,15.0,logs/main/medium/repair_bo/seed_19.csv
Repair BO,repair_bo,large,80-D,0,300,14.816005,18,True,18.0,0.07,0.05,24.296368,2,0.143351,348.036266,distance,30.0,15.0,logs/main/large/repair_bo/seed_0.csv
Repair BO,repair_bo,large,80-D,1,300,6.695065,137,True,99.0,0.06,0.025,14.628646,1,0.158285,393.358032,distance,30.0,15.0,logs/main/large/repair_bo/seed_1.csv
Repair BO,repair_bo,large,80-D,2,300,6.043622,112,True,112.0,0.013333,0.025,14.628187,1,0.185678,458.456466,distance,30.0,15.0,logs/main/large/repair_bo/seed_2.csv
Repair BO,repair_bo,large,80-D,3,300,16.580443,182,True,38.0,0.113333,0.05,21.65404,2,0.235308,307.359612,distance,30.0,15.0,logs/main/large/repair_bo/seed_3.csv
Repair BO,repair_bo,large,80-D,4,300,7.312573,137,True,96.0,0.043333,0.05,16.740646,2,0.037457,342.807308,distance,30.0,15.0,logs/main/large/repair_bo/seed_4.csv
Repair BO,repair_bo,large,80-D,5,300,9.470155,125,True,8.0,0.043333,0.025,13.287981,1,0.078985,381.782524,distance,30.0,15.0,logs/main/large/repair_bo/seed_5.csv
Repair BO,repair_bo,large,80-D,6,300,25.541778,78,True,49.0,0.106667,0.075,37.119074,3,0.177353,357.729617,distance,30.0,15.0,logs/main/large/repair_bo/seed_6.csv
Repair BO,repair_bo,large,80-D,7,300,21.607991,280,True,34.0,0.12,0.05,26.402489,2,0.105461,279.449778,distance,30.0,15.0,logs/main/large/repair_bo/seed_7.csv
Repair BO,repair_bo,large,80-D,8,300,25.267843,281,True,15.0,0.306667,0.075,32.8798,3,0.132126,361.195639,distance,30.0,15.0,logs/main/large/repair_bo/seed_8.csv
Repair BO,repair_bo,large,80-D,9,300,14.125785,199,True,26.0,0.126667,0.05,19.630386,2,0.079664,350.460057,distance,30.0,15.0,logs/main/large/repair_bo/seed_9.csv
Repair BO,repair_bo,large,80-D,10,300,7.658348,140,True,39.0,0.023333,0.025,14.068886,1,0.020182,441.053799,distance,30.0,15.0,logs/main/large/repair_bo/seed_10.csv
