method_id,method,scale,dimension,evaluation,n_runs,success_rate,mean_best_so_far,std_best_so_far,q25_best_so_far,q75_best_so_far,sem_best_so_far
ft_hsbo,FT-HSBO,large,80-D,85,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,86,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,87,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,88,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,89,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,90,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,91,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,92,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,93,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,94,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,95,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,96,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,97,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,98,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,99,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,100,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,101,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,102,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,103,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,104,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
